"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NUVL","NUVALENT INC","COM","670703107","918,987","20%","19,991,024","",""
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","426,548","9.4%","","271,452,000",""
"VTRS","VIATRIS INC","COM","92556V106","195,853","4.3%","19,863,485","",""
"","INVITAE CORP","DEBT 4.500% 3/1","46185LAH6","163,823","3.6%","","217,766,000",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","141,534","3.1%","","144,516,000",""
"CNC","CENTENE CORP DEL","COM","15135B101","137,071","3.0%","1,990,000","",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","136,092","3.0%","1,209,714","",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","133,525","2.9%","","101,042,000",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","123,832","2.7%","13,607,940","",""
"","BROOKDALE SR LIVING INC","NOTE 2.000%10/1","112463AC8","114,346","2.5%","","145,955,000",""
"","ACCOLADE INC","NOTE 0.500% 4/0","00437EAB8","107,928","2.4%","","132,598,000",""
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","107,555","2.4%","","108,858,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.500% 2/1","45845PAC2","105,134","2.3%","","98,354,000",""
"OMI","OWENS & MINOR INC NEW","COM","690732102","103,989","2.3%","6,435,000","",""
"CPRX","CATALYST PHARMACEUTICALS INC","COM","14888U101","95,764","2.1%","8,192,000","",""
"MRUS","MERUS N V","COM","N5749R100","91,418","2.0%","3,876,938","",""
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","87,737","1.9%","6,897,606","",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","66,918","1.5%","16,941,357","",""
"BIO","BIO RAD LABS INC","CL A","090572207","62,351","1.4%","173,947","",""
"IDYA","IDEAYA BIOSCIENCES INC","COM","45166A102","61,207","1.3%","2,268,628","",""
"EHAB","ENHABIT INC","COM","29332G102","56,224","1.2%","4,997,746","",""
"HLVX","HILLEVAX INC","COM","43157M102","53,856","1.2%","4,004,231","",""
"","NANOSTRING TECHNOLOGIES INC","NOTE 2.625% 3/0","63009RAD1","53,000","1.2%","","70,204,000",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","52,493","1.2%","12,679,651","",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","48,481","1.1%","1,751,496","",""
"","LIVONGO HEALTH INC","NOTE 0.875% 6/0","539183AA1","45,665","1.0%","","50,000,000",""
"IART","INTEGRA LIFESCIENCES HLDGS C","COM NEW","457985208","43,033","0.9%","1,126,827","",""
"SGRY","SURGERY PARTNERS INC","COM","86881A100","42,705","0.9%","1,460,000","",""
"SPRY","ARS PHARMACEUTICALS INC","COM","82835W108","41,874","0.9%","11,077,927","",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","39,891","0.9%","4,374,044","",""
"GH","GUARDANT HEALTH INC","COM","40131M109","39,419","0.9%","1,329,935","",""
"ICPT","INTERCEPT PHARMACEUTICALS IN","COM","45845P108","38,524","0.8%","2,077,893","",""
"SWTX","SPRINGWORKS THERAPEUTICS INC","COM","85205L107","36,519","0.8%","1,579,574","",""
"CABA","CABALETTA BIO INC","COM","12674W109","35,616","0.8%","2,340,118","",""
"CMAX","CAREMAX INC","COM CL A","14171W103","33,651","0.7%","15,873,213","",""
"GPCR","STRUCTURE THERAPEUTICS INC","SPONSORED ADS","86366E106","31,654","0.7%","627,813","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","28,517","0.6%","","30,000,000",""
"RYZB","RAYZEBIO INC","COM","75525N107","25,732","0.6%","1,159,126","",""
"DCGO","DOCGO INC","COM","256086109","25,392","0.6%","4,764,000","",""
"BCRX","BIOCRYST PHARMACEUTICALS INC","COM","09058V103","23,264","0.5%","3,286,000","",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","22,536","0.5%","3,933,137","",""
"PODD","INSULET CORP","COM","45784P101","20,255","0.4%","127,000","",""
"IRON","DISC MEDICINE INC","COM","254604101","20,201","0.4%","430,000","",""
"ALHC","ALIGNMENT HEALTHCARE INC","COM","01625V104","19,064","0.4%","2,747,015","",""
"ROIV","ROIVANT SCIENCES LTD","SHS","G76279101","18,740","0.4%","1,604,487","",""
"","PTC THERAPEUTICS INC","NOTE 1.500% 9/1","69366JAD3","17,509","0.4%","","22,000,000",""
"CRBU","CARIBOU BIOSCIENCES INC","COM","142038108","16,730","0.4%","3,500,000","",""
"CSTL","CASTLE BIOSCIENCES INC","COM","14843C105","15,988","0.4%","946,620","",""
"DAWN","DAY ONE BIOPHARMACEUTICALS I","COM","23954D109","15,582","0.3%","1,269,992","",""
"VKTX","VIKING THERAPEUTICS INC","COM","92686J106","14,158","0.3%","1,279,000","",""
"TARS","TARSUS PHARMACEUTICALS INC","COM","87650L103","13,399","0.3%","754,042","",""
"VSTM","VERASTEM INC","COM NEW","92337C203","12,507","0.3%","1,538,461","",""
"DNLI","DENALI THERAPEUTICS INC","COM","24823R105","12,274","0.3%","594,989","",""
"QDEL","QUIDELORTHO CORP","COM","219798105","10,956","0.2%","150,000","",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","10,621","0.2%","1,089,345","",""
"LUNG","PULMONX CORP","COM","745848101","10,515","0.2%","1,017,958","",""
"RVNC","REVANCE THERAPEUTICS INC","COM","761330109","9,978","0.2%","870,000","",""
"VIGL","VIGIL NEUROSCIENCE INC","COM","92673K108","9,849","0.2%","1,827,400","",""
"BCYC","BICYCLE THERAPEUTICS PLC","SPONSORED ADS","088786108","9,015","0.2%","448,753","",""
"TNGX","TANGO THERAPEUTICS INC","COM","87583X109","8,937","0.2%","793,729","",""
"PRME","PRIME MEDICINE INC","COM","74168J101","8,445","0.2%","885,314","",""
"FDMT","4D MOLECULAR THERAPEUTICS IN","COM","35104E100","8,274","0.2%","650,000","",""
"ITOS","ITEOS THERAPEUTICS INC","COM","46565G104","7,916","0.2%","723,000","",""
"FUSN","FUSION PHARMACEUTICALS INC","COM","36118A100","7,339","0.2%","2,823,000","",""
"ALEC","ALECTOR INC","COM","014442107","6,837","0.2%","1,055,192","",""
"","NEOGENOMICS INC","NOTE 1.250% 5/0","64049MAA8","5,994","0.1%","","6,500,000",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","4,704","0.1%","3,360,052","",""
"WGS","GENEDX HOLDINGS CORP","COM CL A","81663L200","4,564","0.1%","1,253,895","",""
"FHTX","FOGHORN THERAPEUTICS INC","COM","344174107","3,887","0.1%","777,525","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","2,821","0.1%","400,256","",""
"BDTX","BLACK DIAMOND THERAPEUTICS I","COM","09203E105","2,670","0.1%","930,447","",""
"OT10.SG","ORCHARD THERAPEUTICS PLC","SPON ADS NEW","68570P200","2,443","0.1%","316,169","",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","1,899","0.0%","4,984,871","",""
"AFIB","ACUTUS MED INC","COM","005111109","1,853","0.0%","2,660,808","",""
"ANNX","ANNEXON INC","COM","03589W102","1,378","0.0%","583,913","",""
"CUTR","CUTERA INC","COM","232109108","929","0.0%","154,406","",""
"NAMSW","NEWAMSTERDAM PHARMA COMPANY","*W EXP 11/22/202","N62509117","176","0.0%","92,787","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","134","0.0%","672,000","",""
"TLSIW","TRISALUS LIFE SCIENCES INC","*W EXP 08/10/202","89680M119","126","0.0%","333,333","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","114","0.0%","1,250,000","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM NEW","58406B202","100","0.0%","16,732","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","90","0.0%","333,333","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","48","0.0%","733,333","",""
"SIEN","SIENTRA INC","COM","82621J204","27","0.0%","10,000","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","26","0.0%","120,000","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","16","0.0%","166,666","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","6","0.0%","166,666","",""
"TLSI","TRISALUS LIFE SCIENCES INC","COM","89680M101","0","0.0%","1","",""
